Index,Year,Location,Location Code,Sex,Age,Value
152,2005,WORLD,900,Both,35,19127145
153,2005,WORLD,900,Both,40,17583960
154,2005,WORLD,900,Both,45,15452989
155,2005,WORLD,900,Both,50,13185577
156,2005,WORLD,900,Both,55,11003384
157,2005,WORLD,900,Both,60,8855977
158,2005,WORLD,900,Both,65,6956626
159,2005,WORLD,900,Both,70,5884632
160,2005,WORLD,900,Both,75,10011343
161,2005,WORLD,900,Male,0,2520983
162,2005,WORLD,900,Male,5,3363157
163,2005,WORLD,900,Male,10,4171355
164,2005,WORLD,900,Male,15,5522578
165,2005,WORLD,900,Male,20,7601839
166,2005,WORLD,900,Male,25,9835576
167,2005,WORLD,900,Male,30,10539334
168,2005,WORLD,900,Male,35,10219738
169,2005,WORLD,900,Male,40,9350286
170,2005,WORLD,900,Male,45,8075320
171,2005,WORLD,900,Male,50,6686447
172,2005,WORLD,900,Male,55,5488808
173,2005,WORLD,900,Male,60,4288733
174,2005,WORLD,900,Male,65,3249866
175,2005,WORLD,900,Male,70,2606555
176,2005,WORLD,900,Male,75,4142506
177,2005,WORLD,900,Female,0,2391847
178,2005,WORLD,900,Female,5,3198971
179,2005,WORLD,900,Female,10,3928879
180,2005,WORLD,900,Female,15,5129612
181,2005,WORLD,900,Female,20,7121902
182,2005,WORLD,900,Female,25,8837344
183,2005,WORLD,900,Female,30,9221818
184,2005,WORLD,900,Female,35,8907407
185,2005,WORLD,900,Female,40,8233674
186,2005,WORLD,900,Female,45,7377669
187,2005,WORLD,900,Female,50,6499130
188,2005,WORLD,900,Female,55,5514576
189,2005,WORLD,900,Female,60,4567244
190,2005,WORLD,900,Female,65,3706760
191,2005,WORLD,900,Female,70,3278077
192,2005,WORLD,900,Female,75,5868837
193,2010,WORLD,900,Both,0,5772791
194,2010,WORLD,900,Both,5,7338510
195,2010,WORLD,900,Both,10,8458240
196,2010,WORLD,900,Both,15,11057021
197,2010,WORLD,900,Both,20,16836768
198,2010,WORLD,900,Both,25,22441097
199,2010,WORLD,900,Both,30,23547822
200,2010,WORLD,900,Both,35,22565333
201,2010,WORLD,900,Both,40,20355347
202,2010,WORLD,900,Both,45,18236074
203,2010,WORLD,900,Both,50,15433441
204,2010,WORLD,900,Both,55,12692544
205,2010,WORLD,900,Both,60,10688291
206,2010,WORLD,900,Both,65,7904843
207,2010,WORLD,900,Both,70,6531925
208,2010,WORLD,900,Both,75,11123140
209,2010,WORLD,900,Male,0,2935031
210,2010,WORLD,900,Male,5,3728826
211,2010,WORLD,900,Male,10,4332848
212,2010,WORLD,900,Male,15,5705761
213,2010,WORLD,900,Male,20,8825410
214,2010,WORLD,900,Male,25,12067543
215,2010,WORLD,900,Male,30,12882330
216,2010,WORLD,900,Male,35,12383495
217,2010,WORLD,900,Male,40,10983507
218,2010,WORLD,900,Male,45,9637162
219,2010,WORLD,900,Male,50,7890007
220,2010,WORLD,900,Male,55,6247346
221,2010,WORLD,900,Male,60,5130699
222,2010,WORLD,900,Male,65,3687302
223,2010,WORLD,900,Male,70,2908010
224,2010,WORLD,900,Male,75,4595604
225,2010,WORLD,900,Female,0,2837760
226,2010,WORLD,900,Female,5,3609684
227,2010,WORLD,900,Female,10,4125392
228,2010,WORLD,900,Female,15,5351260
229,2010,WORLD,900,Female,20,8011358
230,2010,WORLD,900,Female,25,10373554
231,2010,WORLD,900,Female,30,10665492
232,2010,WORLD,900,Female,35,10181838
233,2010,WORLD,900,Female,40,9371840
234,2010,WORLD,900,Female,45,8598912
235,2010,WORLD,900,Female,50,7543434
236,2010,WORLD,900,Female,55,6445198
237,2010,WORLD,900,Female,60,5557592
238,2010,WORLD,900,Female,65,4217541
239,2010,WORLD,900,Female,70,3623915
240,2010,WORLD,900,Female,75,6527536
241,2015,WORLD,900,Both,0,6989696
242,2015,WORLD,900,Both,5,8088701
243,2015,WORLD,900,Both,10,8615587
244,2015,WORLD,900,Both,15,10947107
245,2015,WORLD,900,Both,20,17440377
246,2015,WORLD,900,Both,25,24520690
247,2015,WORLD,900,Both,30,26931251
248,2015,WORLD,900,Both,35,25795909
249,2015,WORLD,900,Both,40,23457127
250,2015,WORLD,900,Both,45,20544862
251,2015,WORLD,900,Both,50,17943736
252,2015,WORLD,900,Both,55,14911632
253,2015,WORLD,900,Both,60,12182859
254,2015,WORLD,900,Both,65,9696107
255,2015,WORLD,900,Both,70,7404517
256,2015,WORLD,900,Both,75,12488486
257,2015,WORLD,900,Male,0,3579554
258,2015,WORLD,900,Male,5,4125266
259,2015,WORLD,900,Male,10,4408277
260,2015,WORLD,900,Male,15,5614439
261,2015,WORLD,900,Male,20,9114542
262,2015,WORLD,900,Male,25,13139702
263,2015,WORLD,900,Male,30,14685736
264,2015,WORLD,900,Male,35,14090272
265,2015,WORLD,900,Male,40,12690563
266,2015,WORLD,900,Male,45,10915101
267,2015,WORLD,900,Male,50,9306888
268,2015,WORLD,900,Male,55,7463903
269,2015,WORLD,900,Male,60,5898179
270,2015,WORLD,900,Male,65,4599558
271,2015,WORLD,900,Male,70,3400387
272,2015,WORLD,900,Male,75,5205691
273,2015,WORLD,900,Female,0,3410142
274,2015,WORLD,900,Female,5,3963435
275,2015,WORLD,900,Female,10,4207310
276,2015,WORLD,900,Female,15,5332668
277,2015,WORLD,900,Female,20,8325835
278,2015,WORLD,900,Female,25,11380988
279,2015,WORLD,900,Female,30,12245515
280,2015,WORLD,900,Female,35,11705637
281,2015,WORLD,900,Female,40,10766564
282,2015,WORLD,900,Female,45,9629761
283,2015,WORLD,900,Female,50,8636848
284,2015,WORLD,900,Female,55,7447729
285,2015,WORLD,900,Female,60,6284680
286,2015,WORLD,900,Female,65,5096549
287,2015,WORLD,900,Female,70,4004130
288,2015,WORLD,900,Female,75,7282795
289,2020,WORLD,900,Both,0,8226578
290,2020,WORLD,900,Both,5,9969159
291,2020,WORLD,900,Both,10,10212634
292,2020,WORLD,900,Both,15,12529837
293,2020,WORLD,900,Both,20,19141706
294,2020,WORLD,900,Both,25,26315409
295,2020,WORLD,900,Both,30,29527008
296,2020,WORLD,900,Both,35,29195374
297,2020,WORLD,900,Both,40,26585188
298,2020,WORLD,900,Both,45,23457176
299,2020,WORLD,900,Both,50,20154425
300,2020,WORLD,900,Both,55,17091853
301,2020,WORLD,900,Both,60,13897964
302,2020,WORLD,900,Both,65,10914100
303,2020,WORLD,900,Both,70,8371616
304,2020,WORLD,900,Both,75,15008078
305,2020,WORLD,900,Male,0,4237565
306,2020,WORLD,900,Male,5,5148784
307,2020,WORLD,900,Male,10,5288849
308,2020,WORLD,900,Male,15,6461852
309,2020,WORLD,900,Male,20,10118188
310,2020,WORLD,900,Male,25,14159198
311,2020,WORLD,900,Male,30,16050261
312,2020,WORLD,900,Male,35,15753005
313,2020,WORLD,900,Male,40,14253606
314,2020,WORLD,900,Male,45,12592956
315,2020,WORLD,900,Male,50,10669236
316,2020,WORLD,900,Male,55,8792385
317,2020,WORLD,900,Male,60,6859059
318,2020,WORLD,900,Male,65,5169015
319,2020,WORLD,900,Male,70,3846137
320,2020,WORLD,900,Male,75,6255748
321,2020,WORLD,900,Female,0,3989013
322,2020,WORLD,900,Female,5,4820375
323,2020,WORLD,900,Female,10,4923785
324,2020,WORLD,900,Female,15,6067985
325,2020,WORLD,900,Female,20,9023518
326,2020,WORLD,900,Female,25,12156211
327,2020,WORLD,900,Female,30,13476747
328,2020,WORLD,900,Female,35,13442369
329,2020,WORLD,900,Female,40,12331582
330,2020,WORLD,900,Female,45,10864220
331,2020,WORLD,900,Female,50,9485189
332,2020,WORLD,900,Female,55,8299468
333,2020,WORLD,900,Female,60,7038905
334,2020,WORLD,900,Female,65,5745085
335,2020,WORLD,900,Female,70,4525479
336,2020,WORLD,900,Female,75,8752330
337,1990,Sub-Saharan Africa,947,Both,0,1083361
338,1990,Sub-Saharan Africa,947,Both,5,1138728
339,1990,Sub-Saharan Africa,947,Both,10,1130403
340,1990,Sub-Saharan Africa,947,Both,15,1290880
341,1990,Sub-Saharan Africa,947,Both,20,1515511
342,1990,Sub-Saharan Africa,947,Both,25,1561038
343,1990,Sub-Saharan Africa,947,Both,30,1340614
344,1990,Sub-Saharan Africa,947,Both,35,1075290
345,1990,Sub-Saharan Africa,947,Both,40,831196
346,1990,Sub-Saharan Africa,947,Both,45,634469
347,1990,Sub-Saharan Africa,947,Both,50,502876
348,1990,Sub-Saharan Africa,947,Both,55,374043
349,1990,Sub-Saharan Africa,947,Both,60,314683
350,1990,Sub-Saharan Africa,947,Both,65,200441
351,1990,Sub-Saharan Africa,947,Both,70,122618
352,1990,Sub-Saharan Africa,947,Both,75,170190
